"Artist","Song","Популярность в США","Популярность в СНГ"
"Body Count","It's My Life","0.18","0.05"
"Heaven Shall Burn","Headache","0.32","0.03"
"Blind Channel","Silence","0.09","0.05"
"A War Within","One","0","0"
"Mayday Parade","Cold","0","0"
"Silverstein","Solway Firth","0","0"
"Apocalyptica","Why not?","0.18","0.05"
"Lumen","Stop it","0.18","0.05"
"Biffy Clyro","I can't take this anymore","0.18","0.05"
"Alazka","Snow","0","0"
"Greenday","Hello","0.17","0.02"
"Mayday Parade","Here we go again","0.07","0.1"
"Silverstein","Incredible","0.17","0.03"
"Apocalyptica","Summer","0.21","0.03"
"Lumen","Cold Reader","0.21","0.05"
"Mayday Parade","Well","0.11","0.03"
"Silverstein","Группа крови","0.18","0.05"
"Apocalyptica","Мама","0.24","0.03"
"Five Finger Death Punch","Вокруг шум","0.21","0.03"
"Fozzy","А я и не знал","0.2","0.02"
"Bon Jovi","WTF?","0.04","0.02"
"Motionless in White","Deutschland","0.26","0.01"
"Falling in Reverse","New-York","0.14","0.04"
"Metallica","Clown","0.33","0.03"
"Korn","Nice boobs","0","0.02"
"IAMX","I don't want this","0.26","0.01"
"Caligula's Horse","Anymore","0.2","0.03"
"Каста","Rufuss","0.29","0.03"
"Oxxymiron","Mann","0.33","0.03"
"Nirvana","Stupid things","0.19","0.03"
"AC/DC","You're strange","0","0"
"Led Zeppelin","Zombie","0.2","0.02"
"Led Zeppelin","Plague","0.18","0.05"
"Deep Purple","No more","0.27","0.01"
"Michael Jackson","Спокойная ночь","0.25","0.01"
"Muse","Моя игра","0.07","0.04"
"Skrillex","Smells like Teen Spirit","0.29","0"
"Slipknot","Highway to Hell","0.29","0"
"Stone Sour","Smoke on the Water","0.13","0.05"
"Avenged Sevenfold","Brick in the Wall","0.33","0.03"
"Three Days Grace","You are not Alone","0.2","0.02"
"Apocalyptica","Hysteria","0.2","0.05"
"Lumen","Kill Everybody","0.26","0.01"
"Biffy Clyro","Unsainted","0.33","0.03"
"Alazka","Through the Glass","0.27","0.01"
"Greenday","Afterlife","0.12","0.04"
"Ozzy Osbourne","Animal I have become","0","0.01"
"Body Count","Fever","0","0"
"Heaven Shall Burn","Anastasia","0.23","0.03"
"Blind Channel","Raining Blood","0.2","0.02"
"A War Within","Bleeding","0.3","0.02"
"Mayday Parade","Smells like Teen Spirit","0.33","0.03"
"Silverstein","Highway to Hell","0.27","0.03"
"Apocalyptica","Smoke on the Water","0.27","0.01"
"Lumen","Brick in the Wall","0.33","0.02"
"Biffy Clyro","You are not Alone","0","0"
"Alazka","Hysteria","0.23","0.03"
"Greenday","Kill Everybody","0.07","0.04"
"Michael Jackson","Unsainted","0.18","0.05"
"Muse","Through the Glass","0","0"
"Skrillex","Afterlife","0.18","0.06"
"Slipknot","Animal I have become","0.11","0.07"
"Stone Sour","Fever","0","0"
"Avenged Sevenfold","Anastasia","0.24","0.03"
"Three Days Grace","Raining Blood","0.18","0.05"
"Bullet for my Valentine","Bleeding","0.18","0.05"
"Slash","Smells like Teen Spirit","0","0.02"
"Slayer","Highway to Hell","0","0"
"Five Finger Death Punch","Smoke on the Water","0","0.03"
"Fozzy","Brick in the Wall","0","0.01"
"Bon Jovi","You are not Alone","0.06","0.05"
"Motionless in White","Hysteria","0.33","0.02"
"Falling in Reverse","Kill Everybody","0.06","0.05"
"Metallica","Unsainted","0.19","0.05"
"Korn","Through the Glass","0","0.05"
"IAMX","Afterlife","0","0.02"
"Oxxymiron","Animal I have become","0.33","0"
"Nirvana","Fever","0.29","0.02"
"AC/DC","Anastasia","0.27","0.01"
"Led Zeppelin","Raining Blood","0.23","0.03"
"Led Zeppelin","Bleeding","0","0"
"Deep Purple","Smells like Teen Spirit","0.2","0.02"
"Michael Jackson","Highway to Hell","0","0"
"Muse","Smoke on the Water","0.25","0.04"
"Skrillex","Brick in the Wall","0.21","0.02"
"Slipknot","You are not Alone","0.17","0.05"
"Stone Sour","Hysteria","0.24","0.05"
"Avenged Sevenfold","Kill Everybody","0.17","0.05"
"Alazka","Unsainted","0","0.09"
"Greenday","Through the Glass","0","0"
"Ozzy Osbourne","Afterlife","0.33","0.02"
"Body Count","Animal I have become","0.06","0.02"
"Heaven Shall Burn","Fever","0.25","0.01"
"Blind Channel","Anastasia","0.16","0.04"
"A War Within","Raining Blood","0.32","0.03"
"Mayday Parade","Bleeding","0.2","0.02"
"Silverstein","Smells like Teen Spirit","0.28","0.03"
"Apocalyptica","Highway to Hell","0.25","0.01"
"Captives","Smoke on the Water","0.23","0.03"
"Nightwish","Brick in the Wall","0.17","0.05"
"Moonspell","You are not Alone","0.27","0.01"
"Machine Head","Hysteria","0.08","0.02"
"Machine Head","Kill Everybody","0","0"
"Viscera","Unsainted","0.1","0.07"
"Phantogram","Through the Glass","0.22","0.02"
"Ivy Rye","Silverstein","0.17","0.05"
"Boston Manor","Apocalyptica","0.25","0.03"
"PVRIS","Captives","0","0"
"Fever 339","Nightwish","0.09","0.07"
"Asking Alexandria","Moonspell","0","0"
"Bush","Machine Head","0.14","0.06"
"He-Nis-Ra","Machine Head","0.19","0.03"
"Nova Twins","Viscera","0.17","0.05"
"Nirvana","Phantogram","0.25","0.01"
"AC/DC","Ivy Rye","0.26","0.01"
"Led Zeppelin","Boston Manor","0.13","0.04"
"Deep Purple","PVRIS","0","0"
"Michael Jackson","Fever 333","0.08","0.01"
"Muse","Asking Alexandria","0.16","0.03"
"Skrillex","Bush","0.04","0"
"Slipknot","He-Nis-Ra","0.17","0.04"
"Stone Sour","Nova Twins","0","0"
"Avenged Sevenfold","Kill Everybody","0.15","0.04"
"Three Days Grace","Unsainted","0.17","0.04"
"Bullet for my Valentine","Through the Glass","0.03","0.02"
"Slash","Afterlife","0.25","0.01"
"Slayer","Animal I have become","0","0"
"Five Finger Death Punch","Fever","0.2","0.04"
"Fozzy","Anastasia","0.31","0.02"
"Bon Jovi","Raining Blood","0.3","0.03"
"Motionless in White","Bleeding","0.13","0.04"
"Falling in Reverse","Smells like Teen Spirit","0.21","0.03"
"Metallica","Highway to Hell","0.15","0.01"
"Korn","Smoke on the Water","0.23","0.02"
"IAMX","Brick in the Wall","0","0.06"
"Caligula's Horse","You are not Alone","0.05","0.07"
"The Killers","Hysteria","0.11","0.06"
"Halfives","Kill Everybody","0.18","0.03"
"Blueshift","Unsainted","0.23","0.03"
"Soilwork","Through the Glass","0.17","0.04"
"Soul Extract","Silverstein","0.27","0.01"
"Infant Annihilator","Apocalyptica","0.25","0.01"
"Red","Captives","0.32","0.02"
"Ocean Grove","Nightwish","0.17","0.04"
"Stigmata","Moonspell","0.19","0.02"
"Кино","Machine Head","0.26","0.01"
"Баста","Machine Head","0.18","0.03"
"Каста","Viscera","0.13","0.06"
"Oxxymiron","Phantogram","0.17","0.04"
"Emmure","Ivy Rye","0.17","0.04"
"RAMMSTEIN","Boston Manor","0.09","0.02"
"Emograte","PVRIS","0.11","0.04"
"Oomph!","Fever 334","0.13","0.03"
"Fit for a King","Asking Alexandria","0.23","0.04"
"Code Orange","Bush","0.17","0.04"
"Aviators","He-Nis-Ra","0","0.02"
"Kodaline","Nova Twins","0.17","0.04"
"Led Zeppelin","Kill Everybody","0.17","0.04"
"Deep Purple","Unsainted","0.17","0.04"
"Michael Jackson","Through the Glass","0.27","0.01"
"Muse","Afterlife","0.32","0.03"
"Ocean Grove","Animal I have become","0.17","0.04"
"Stigmata","Fever","0.1","0.05"
"Кино","Anastasia","0","0"
"Баста","Raining Blood","0.19","0.02"
"Bullet for my Valentine","Bleeding","0.1","0.03"
"Slash","Smells like Teen Spirit","0.3","0.03"
"Slayer","Highway to Hell","0.19","0.02"
"Five Finger Death Punch","Smoke on the Water","0","0"
"Fozzy","Brick in the Wall","0.17","0.04"
"Bon Jovi","You are not Alone","0.18","0.03"
"Motionless in White","Hysteria","0.32","0.03"
"Falling in Reverse","Kill Everybody","0.06","0.08"
"The Killers","Unsainted","0.27","0.01"
"Halfives","Through the Glass","0.09","0.04"
"Blueshift","Silverstein","0.16","0.06"
"Soilwork","Apocalyptica","0.17","0.04"
"Soul Extract","Captives","0.3","0.03"
"Infant Annihilator","Nightwish","0.08","0.03"
"Red","Moonspell","0","0.02"
"Ocean Grove","Machine Head","0.32","0.02"
"Stigmata","Machine Head","0.25","0.01"
"Кино","Viscera","0","0"
"Баста","Phantogram","0.11","0.08"
"Каста","Ivy Rye","0.25","0.01"
"Oxxymiron","Boston Manor","0.17","0.04"
"Motionless in White","PVRIS","0.11","0.03"
"Falling in Reverse","Fever 335","0","0"
"The Killers","Asking Alexandria","0.19","0.02"
"Halfives","Bush","0.2","0.02"
"Каста","He-Nis-Ra","0.13","0.06"
"Oxxymiron","Nova Twins","0.1","0.01"
"Motionless in White","Kill Everybody","0.25","0.03"
"Каста","Unsainted","0.31","0.03"
"Oxxymiron","Through the Glass","0.28","0.03"
"Motionless in White","Afterlife","0.27","0.03"
"Каста","Animal I have become","0.32","0"
"Oxxymiron","Fever","0.25","0.01"
"Nirvana","Anastasia","0.08","0.02"
"AC/DC","Raining Blood","0.15","0.03"
"Led Zeppelin","Bleeding","0.15","0.03"
"Led Zeppelin","Smells like Teen Spirit","0.17","0.04"
"Deep Purple","Highway to Hell","0","0"
"Michael Jackson","Smoke on the Water","0.19","0.03"
"Muse","Brick in the Wall","0.07","0.25"
"Skrillex","You are not Alone","0.25","0.01"
"Slipknot","Hysteria","0.24","0.02"
"Stone Sour","Kill Everybody","0.19","0.02"
"Avenged Sevenfold","Unsainted","0.17","0.04"
"Three Days Grace","Through the Glass","0.26","0.01"
"Apocalyptica","Silverstein","0.17","0.04"
"City of Souls","Apocalyptica","0.32","0"
"Four Year Strong","Captives","0.32","0"
"Spiritbox","Nightwish","0.17","0.03"
"The Animal in Me","Moonspell","0.28","0.03"
"Invent","Machine Head","0.29","0.02"
"The Anix","Machine Head","0.26","0.01"
"August Burns Red","Viscera","0.14","0.02"
"One Desire","Phantogram","0.22","0.01"
"Shezzers","Ivy Rye","0.32","0"
"Nirvana","Boston Manor","0.13","0.04"
"AC/DC","PVRIS","0.31","0.03"
"Led Zeppelin","Fever 336","0.15","0.05"
"Deep Purple","Asking Alexandria","0","0"
"Michael Jackson","Bush","0.27","0"
"Muse","He-Nis-Ra","0.32","0"
"Skrillex","Nova Twins","0.15","0.06"
"Slipknot","Kill Everybody","0.22","0.03"
"Stone Sour","Unsainted","0.19","0.02"
"Avenged Sevenfold","Through the Glass","0.29","0.03"
"Three Days Grace","Afterlife","0.32","0"
"Bullet for my Valentine","Animal I have become","0","0"
"Slash","Fever","0.17","0.04"
"Slayer","Anastasia","0.14","0.05"
"Five Finger Death Punch","Raining Blood","0.25","0.01"
"Fozzy","Bleeding","0","0"
"Bon Jovi","Smells like Teen Spirit","0.05","0.02"
"Motionless in White","Highway to Hell","0.31","0.02"
"Falling in Reverse","Smoke on the Water","0.31","0.02"
"Metallica","Brick in the Wall","0.13","0.03"
"Korn","You are not Alone","0.28","0.02"
"IAMX","Hysteria","0.14","0.02"
"Caligula's Horse","Kill Everybody","0.3","0.03"
"The Killers","Unsainted","0.19","0.02"
"Halfives","Through the Glass","0.09","0.04"
"Blueshift","Silverstein","0.25","0.01"
"Soilwork","Apocalyptica","0.15","0.03"
"Soul Extract","Here we go again","0.31","0.02"
"Infant Annihilator","Incredible","0.29","0.03"
"Red","Summer","0.18","0.03"
"Ocean Grove","Cold Reader","0.24","0.01"
"Stigmata","Well","0.11","0.05"
"Кино","Группа крови","0.26","0.01"
"Баста","Мама","0.21","0.03"
"Каста","Вокруг шум","0.1","0.22"
"Oxxymiron","А я и не знал","0","0.08"
"Emmure","WTF?","0","0"
"RAMMSTEIN","Deutschland","0.28","0.03"
"Emograte","New-York","0.29","0.03"
"Oomph!","Clown","0.17","0.05"
"Fit for a King","Nice boobs","0.04","0.01"
"Code Orange","I don't want this","0.27","0.02"
"Aviators","Anymore","0.19","0.02"
"Kodaline","Rufuss","0.16","0.04"
"Led Zeppelin","Mann","0.3","0.03"
"Deep Purple","Stupid things","0.17","0.03"
"Michael Jackson","You're strange","0.25","0.01"
"Muse","Zombie","0.12","0.04"
"Ocean Grove","Plague","0.16","0.04"
"Stigmata","No more","0","0"
"Кино","Спокойная ночь","0.06","0.05"
"Баста","Моя игра","0.14","0.03"
"Bullet for my Valentine","Smells like Teen Spirit","0.21","0.01"
"Slash","Highway to Hell","0.17","0.03"
"Slayer","Smoke on the Water","0.15","0.04"
"Five Finger Death Punch","Brick in the Wall","0.06","0.02"
"Fozzy","You are not Alone","0.13","0.03"
"Bon Jovi","Hysteria","0.09","0.03"
"Motionless in White","Kill Everybody","0.23","0.03"
"Falling in Reverse","Unsainted","0.16","0.04"
"The Killers","Through the Glass","0.24","0.01"
"Halfives","Afterlife","0.06","0.02"
"Blueshift","Animal I have become","0","0.04"
"Soilwork","Fever","0.14","0.01"
"Soul Extract","Anastasia","0.27","0.03"
"Infant Annihilator","Raining Blood","0.14","0.08"
"Red","Bleeding","0.12","0.03"
"Ocean Grove","Sandpaper","0.19","0.02"
"Stigmata","It's My Life","0","0"
"Кино","Headache","0.31","0.02"
"Баста","Silence","0.15","0.03"
"Каста","One","0.13","0.05"
"Oxxymiron","Cold","0.14","0.05"
"Motionless in White","Solway Firth","0","0.03"
"Falling in Reverse","Why not?","0.26","0.03"
"The Killers","Stop it","0.2","0.05"
"Halfives","I can't take this anymore","0.26","0.01"
"Каста","Snow","0.14","0.01"
"Oxxymiron","Hello","0.26","0.01"
"Motionless in White","Here we go again","0.25","0.01"
"Каста","Incredible","0.29","0.03"
"Oxxymiron","Summer","0.31","0.02"
"Motionless in White","Cold Reader","0.31","0.02"
"Каста","Well","0.12","0.03"
"Oxxymiron","Группа крови","0.25","0.01"
"Nirvana","Мама","0.12","0.03"
"AC/DC","Вокруг шум","0.3","0.03"
"Led Zeppelin","А я и не знал","0.16","0.04"
"Led Zeppelin","WTF?","0.25","0.01"
"Deep Purple","Deutschland","0.21","0.02"
"Michael Jackson","New-York","0.31","0.03"
"Muse","Clown","0","0.02"
"Skrillex","Nice boobs","0.09","0.04"
"Slipknot","I don't want this","0.26","0.01"
"Stone Sour","Anymore","0","0.08"
"Avenged Sevenfold","Rufuss","0.14","0.04"
"Three Days Grace","Mann","0.16","0.04"
"Apocalyptica","Stupid things","0.24","0.01"
"Lumen","You're strange","0.21","0.03"
"Biffy Clyro","Zombie","0.16","0.04"
"Alazka","Plague","0","0.02"
"Greenday","No more","0.15","0.05"
"Ozzy Osbourne","Спокойная ночь","0.22","0.03"
"Body Count","Моя игра","0","0"
"Heaven Shall Burn","Smells like Teen Spirit","0","0"
"Blind Channel","Highway to Hell","0.17","0.03"
"A War Within","Smoke on the Water","0.26","0.03"
"Mayday Parade","Brick in the Wall","0.3","0.03"
"Silverstein","You are not Alone","0.16","0.04"
"Apocalyptica","Hysteria","0.1","0.05"
"Lumen","Kill Everybody","0.16","0.04"
"Biffy Clyro","Unsainted","0.17","0.01"
"Alazka","Through the Glass","0.1","0.05"
"Greenday","Afterlife","0.14","0.16"
"Mayday Parade","Animal I have become","0.26","0.01"
"Silverstein","Fever","0.24","0.01"
"Apocalyptica","Anastasia","0.05","0.01"
"Lumen","Raining Blood","0.08","0.06"
"Mayday Parade","Bleeding","0","0.04"
"Silverstein","Sandpaper","0.26","0"
"Apocalyptica","It's My Life","0","0"
"Five Finger Death Punch","Headache","0.17","0.03"
"Fozzy","Silence","0.18","0.02"
"Bon Jovi","One","0.09","0.02"
"Motionless in White","Cold","0.26","0.03"
"Falling in Reverse","Solway Firth","0.27","0.02"
"Metallica","Why not?","0.1","0.03"
"Korn","Stop it","0","0"
"IAMX","I can't take this anymore","0.31","0.02"
"Caligula's Horse","Snow","0.15","0.05"
"Каста","Hello","0.25","0.01"
"Oxxymiron","Here we go again","0.22","0.02"
"Nirvana","Incredible","0.11","0.08"
"AC/DC","Summer","0.01","0.03"
"Led Zeppelin","Cold Reader","0.16","0.04"
"Led Zeppelin","Well","0.16","0.04"
"Deep Purple","Группа крови","0.29","0.03"
"Michael Jackson","Мама","0.09","0.09"
"Muse","Вокруг шум","0.12","0.06"
"Skrillex","А я и не знал","0.25","0.01"
"Slipknot","WTF?","0.28","0.02"
"Stone Sour","Deutschland","0.3","0.02"
"Avenged Sevenfold","New-York","0.2","0.03"
"Three Days Grace","Clown","0","0.02"
"Apocalyptica","Nice boobs","0.24","0.01"
"Lumen","I don't want this","0","0"
"Biffy Clyro","Anymore","0.12","0.04"
"Alazka","Rufuss","0.18","0.02"
"Greenday","Mann","0.24","0.01"
"Ozzy Osbourne","Stupid things","0.1","0.06"
"Body Count","You're strange","0","0.01"
"Heaven Shall Burn","Zombie","0","0"
"Blind Channel","Plague","0.19","0.03"
"A War Within","No more","0.19","0.03"
"Mayday Parade","Спокойная ночь","0.22","0.03"
"Silverstein","Моя игра","0.25","0.01"
"Apocalyptica","Smells like Teen Spirit","0","0"
"Lumen","Highway to Hell","0.14","0.03"
"Biffy Clyro","Smoke on the Water","0.19","0.02"
"Alazka","Brick in the Wall","0","0.02"
"Greenday","You are not Alone","0.29","0.03"
"Michael Jackson","Hysteria","0.16","0.02"
"Muse","Kill Everybody","0.09","0.06"
"Skrillex","Unsainted","0.2","0.03"
"Slipknot","Through the Glass","0.12","0.02"
"Stone Sour","Afterlife","0","0"
"Avenged Sevenfold","Animal I have become","0.19","0.03"
"Three Days Grace","Fever","0.25","0.01"
"Bullet for my Valentine","Anastasia","0.11","0.03"
"Slash","Raining Blood","0.31","0"
"Slayer","Bleeding","0.13","0.01"
"Five Finger Death Punch","Smells like Teen Spirit","0.1","0.07"
"Fozzy","Highway to Hell","0.25","0.01"
"Bon Jovi","Smoke on the Water","0.3","0.02"
"Motionless in White","Brick in the Wall","0.3","0"
"Falling in Reverse","You are not Alone","0.2","0.03"
"Metallica","Hysteria","0.3","0.02"
"Korn","Kill Everybody","0.12","0.01"
"IAMX","Unsainted","0.22","0.02"
"Oxxymiron","Through the Glass","0","0.02"
"Nirvana","Afterlife","0.24","0.01"
"AC/DC","Animal I have become","0.16","0.04"
"Led Zeppelin","Fever","0.14","0.07"
"Led Zeppelin","Anastasia","0.13","0.05"
"Deep Purple","Raining Blood","0.25","0.03"
"Michael Jackson","Bleeding","0.15","0.03"
"Muse","Smells like Teen Spirit","0.3","0.03"
"Skrillex","Highway to Hell","0.04","0.02"
"Slipknot","Smoke on the Water","0.32","0"
"Stone Sour","Brick in the Wall","0.23","0.01"
"Avenged Sevenfold","You are not Alone","0.16","0.04"
"Alazka","Hysteria","0","0"
"Greenday","Kill Everybody","0.13","0.04"
"Ozzy Osbourne","Unsainted","0.16","0.04"
"Body Count","Through the Glass","0.18","0.02"
"Heaven Shall Burn","Afterlife","0.06","0.03"
"Blind Channel","Animal I have become","0.23","0.03"
"A War Within","Fever","0.13","0.06"
"Mayday Parade","Anastasia","0.3","0.03"
"Silverstein","Raining Blood","0.18","0.03"
"Apocalyptica","Bleeding","0.3","0.02"
"Captives","Smells like Teen Spirit","0.19","0.02"
"Nightwish","Highway to Hell","0.17","0.01"
"Moonspell","Smoke on the Water","0.3","0"
"Machine Head","Brick in the Wall","0","0"
"Machine Head","You are not Alone","0.18","0.03"
"Viscera","Hysteria","0.15","0.03"
"Phantogram","Kill Everybody","0.16","0.04"
"Ivy Rye","Unsainted","0.14","0.02"
"Boston Manor","Through the Glass","0.18","0.02"
"PVRIS","Afterlife","0.28","0.01"
"Fever 338","Animal I have become","0.11","0.06"
"Asking Alexandria","Fever","0","0.02"
"Bush","Anastasia","0.12","0.08"
"He-Nis-Ra","Raining Blood","0.22","0.03"
"Nova Twins","Bleeding","0.3","0.02"
"Nirvana","Smells like Teen Spirit","0","0.05"
"AC/DC","Highway to Hell","0.27","0.03"
"Led Zeppelin","Smoke on the Water","0.16","0.03"
"Deep Purple","Brick in the Wall","0.27","0.03"
"Michael Jackson","You are not Alone","0.3","0.02"
"Muse","Hysteria","0.05","0.02"
"Skrillex","Kill Everybody","0.18","0.02"
"Slipknot","Unsainted","0.09","0.05"
"Stone Sour","Through the Glass","0.28","0.03"
"Avenged Sevenfold","Silverstein","0.11","0.02"
"Three Days Grace","Apocalyptica","0.16","0.03"
"Bullet for my Valentine","Captives","0","0"
"Slash","Nightwish","0.08","0.02"
"Slayer","Moonspell","0","0.06"
"Five Finger Death Punch","Machine Head","0.16","0.04"
"Fozzy","Machine Head","0.03","0.05"
"Bon Jovi","Viscera","0.18","0.03"
"Motionless in White","Phantogram","0.3","0.02"
"Falling in Reverse","Ivy Rye","0.16","0.04"
"Metallica","Boston Manor","0.24","0.02"
"Korn","PVRIS","0.3","0.02"
"IAMX","Fever 333","0.15","0.03"
"Caligula's Horse","Asking Alexandria","0.25","0.01"
"The Killers","Bush","0.16","0.04"
"Halfives","He-Nis-Ra","0.15","0"
"Blueshift","Nova Twins","0.18","0.02"
"Soilwork","Kill Everybody","0","0"
"Soul Extract","Unsainted","0.03","0.05"
"Infant Annihilator","Through the Glass","0.23","0.01"
"Red","Afterlife","0.18","0.02"
"Ocean Grove","Animal I have become","0","0.04"
"Stigmata","Fever","0.18","0.02"
"Кино","Anastasia","0.27","0.03"
"Баста","Raining Blood","0.16","0.04"
"Каста","Bleeding","0.18","0.02"
"Oxxymiron","Smells like Teen Spirit","0.26","0.03"
"Emmure","Highway to Hell","0.16","0.04"
"RAMMSTEIN","Smoke on the Water","0","0.02"
"Emograte","Brick in the Wall","0","0"
"Oomph!","You are not Alone","0","0"
"Fit for a King","Hysteria","0","0.02"
"Code Orange","Kill Everybody","0.23","0.01"
"Aviators","Unsainted","0.16","0.04"
"Kodaline","Through the Glass","0.29","0.03"
"Led Zeppelin","Silverstein","0.23","0.01"
"Deep Purple","Apocalyptica","0","0"
"Michael Jackson","Captives","0.17","0.03"
"Muse","Nightwish","0.16","0.04"
"Ocean Grove","Moonspell","0.16","0.04"
"Stigmata","Machine Head","0.14","0.03"
"Кино","Machine Head","0.23","0.01"
"Баста","Viscera","0.3","0"
"Bullet for my Valentine","Phantogram","0.3","0"
"Slash","Ivy Rye","0.18","0.02"
"Slayer","Boston Manor","0","0"
"Five Finger Death Punch","PVRIS","0.1","0.06"
"Fozzy","Fever 334","0.04","0.1"
"Bon Jovi","Asking Alexandria","0.24","0.01"
"Motionless in White","Bush","0.28","0.02"
"Falling in Reverse","He-Nis-Ra","0","0"
"The Killers","Nova Twins","0","0"
"Halfives","Kill Everybody","0","0"
"Blueshift","Unsainted","0.23","0.01"
"Soilwork","Through the Glass","0.16","0.04"
"Soul Extract","Afterlife","0","0.02"
"Infant Annihilator","Animal I have become","0","0.02"
"Red","Fever","0","0"
"Ocean Grove","Anastasia","0.24","0.01"
"Stigmata","Raining Blood","0.23","0.01"
"Кино","Bleeding","0.03","0.28"
"Баста","Smells like Teen Spirit","0.28","0.02"
"Каста","Highway to Hell","0.29","0.02"
"Oxxymiron","Smoke on the Water","0.24","0.01"
"Motionless in White","Brick in the Wall","0.16","0.04"
"Falling in Reverse","You are not Alone","0.28","0.02"
"The Killers","Hysteria","0","0"
"Halfives","Kill Everybody","0.18","0.02"
"Каста","Unsainted","0.08","0.02"
"Oxxymiron","Through the Glass","0.08","0.09"
"Motionless in White","Silverstein","0.2","0.02"
"Каста","Apocalyptica","0.23","0.02"
"Oxxymiron","Captives","0.15","0.04"
"Motionless in White","Nightwish","0.1","0.2"
"Каста","Moonspell","0.13","0.06"
"Oxxymiron","Machine Head","0","0"
"Nirvana","Machine Head","0.24","0.03"
"AC/DC","Viscera","0.17","0.02"
"Led Zeppelin","Phantogram","0","0"
"Led Zeppelin","Ivy Rye","0.22","0.01"
"Deep Purple","Boston Manor","0.18","0.02"
"Michael Jackson","PVRIS","0.1","0.05"
"Muse","Fever 335","0","0"
"Skrillex","Asking Alexandria","0.09","0.05"
"Slipknot","Bush","0.18","0.03"
"Stone Sour","He-Nis-Ra","0.12","0.05"
"Avenged Sevenfold","Nova Twins","0.09","0.04"
"Three Days Grace","Kill Everybody","0.1","0.03"
"Apocalyptica","Unsainted","0.18","0.02"
"Lumen","Through the Glass","0","0"
"Biffy Clyro","Afterlife","0.24","0.01"
"Alazka","Animal I have become","0.29","0.02"
"Greenday","Fever","0.17","0.02"
"Ozzy Osbourne","Anastasia","0.29","0.02"
"Body Count","Raining Blood","0.25","0.02"
"Heaven Shall Burn","Bleeding","0","0"
"Blind Channel","Smells like Teen Spirit","0.28","0.02"
"A War Within","Highway to Hell","0.22","0.01"
"Mayday Parade","Smoke on the Water","0.1","0.06"
"Silverstein","Brick in the Wall","0","0"
"Apocalyptica","You are not Alone","0.08","0.03"
"Lumen","Hysteria","0","0"
"Biffy Clyro","Kill Everybody","0","0"
"Alazka","Unsainted","0.17","0.02"
"Greenday","Through the Glass","0.28","0.02"
"Mayday Parade","Silverstein","0.27","0.02"
"Silverstein","Apocalyptica","0.23","0.01"
"Apocalyptica","Captives","0.15","0.04"
"Lumen","Nightwish","0.28","0.02"
"Mayday Parade","Moonspell","0.25","0.03"
"Silverstein","Machine Head","0.15","0.02"
"Apocalyptica","Machine Head","0","0"
"Five Finger Death Punch","Viscera","0.19","0.03"
"Fozzy","Phantogram","0.29","0.02"
"Bon Jovi","Ivy Rye","0.05","0.04"
"Motionless in White","Boston Manor","0.15","0.04"
"Falling in Reverse","PVRIS","0.17","0.02"
"Metallica","Fever 336","0.23","0.01"
"Korn","Asking Alexandria","0.23","0.01"
"IAMX","Bush","0.23","0.01"
"Caligula's Horse","He-Nis-Ra","0.27","0.02"
"Каста","Nova Twins","0.1","0.02"
"Oxxymiron","Kill Everybody","0.17","0.02"
"Nirvana","Unsainted","0.29","0.02"
"AC/DC","Through the Glass","0.15","0.03"
"Led Zeppelin","Afterlife","0.19","0.03"
"Led Zeppelin","Animal I have become","0.08","0.03"
"Deep Purple","Fever","0.07","0.02"
"Michael Jackson","Anastasia","0","0"
"Muse","Raining Blood","0.29","0.02"
"Skrillex","Bleeding","0","0"
"Slipknot","Smells like Teen Spirit","0.17","0.02"
"Stone Sour","Highway to Hell","0.23","0.01"
"Avenged Sevenfold","Smoke on the Water","0.22","0.01"
"Three Days Grace","Brick in the Wall","0","0.02"
"Apocalyptica","You are not Alone","0.27","0.03"
"Lumen","Hysteria","0.29","0.02"
"Biffy Clyro","Kill Everybody","0.07","0.03"
"Alazka","Unsainted","0","0.05"
"Greenday","Through the Glass","0.06","0.1"
"Ozzy Osbourne","Silverstein","0.25","0"
"Body Count","Apocalyptica","0.25","0"
"Heaven Shall Burn","Captives","0.25","0"
"Blind Channel","Nightwish","0","0.05"
"A War Within","Moonspell","0","0.02"
"Mayday Parade","Machine Head","0.31","0"
"Silverstein","Smells like Teen Spirit","0.24","0.02"
"Apocalyptica","Highway to Hell","0.18","0.03"
"Lumen","Smoke on the Water","0","0"
"Biffy Clyro","Brick in the Wall","0.29","0.02"
"Alazka","You are not Alone","0.18","0.03"
"Greenday","Hysteria","0","0"
"Michael Jackson","Kill Everybody","0.28","0.02"
"Muse","Unsainted","0.25","0.03"
"Skrillex","Through the Glass","0.23","0.01"
"Slipknot","Afterlife","0.18","0.02"
"Stone Sour","Animal I have become","0.22","0.01"
"Avenged Sevenfold","Fever","0.15","0.02"
"Three Days Grace","Anastasia","0.29","0"
"Bullet for my Valentine","Raining Blood","0.15","0.04"
"Slash","Bleeding","0.25","0.03"
"Slayer","Sandpaper","0.28","0.02"
"Five Finger Death Punch","It's My Life","0.15","0.04"
"Fozzy","Headache","0","0"
"Bon Jovi","Silence","0.28","0.02"
"Motionless in White","One","0.23","0.02"
"Falling in Reverse","Cold","0.28","0.02"
"Metallica","Solway Firth","0.17","0.02"
"Korn","Why not?","0.24","0.01"
